commodity,date,avg_price_bin,production_vol_mkg,seasonal_cycle,market_sentiment
MAIZE,2024-01-01,15.60,0.80,LEAN,NEUTRAL
MAIZE,2024-03-01,13.20,0.92,HARVEST_EARLY,POSITIVE
MAIZE,2024-04-15,12.80,1.40,HARVEST_PEAK,BEARISH
MAIZE,2024-06-01,13.80,1.20,POST_HARVEST,STABLE
MAIZE,2024-09-01,15.40,0.80,LEAN_EARLY,NEUTRAL
MAIZE,2024-12-01,17.20,0.60,LEAN_PEAK,BULLISH
MAIZE,2025-01-15,18.40,0.50,LEAN_PEAK,BULLISH
MAIZE,2025-03-01,19.00,1.82,HARVEST_EARLY,OPTIMISTIC
TOBACCO,2024-02-15,3.12,120.0,AUCTION_OPEN,POSITIVE
TOBACCO,2024-03-20,3.43,231.7,AUCTION_PEAK,STABLE
TOBACCO,2024-05-10,3.25,180.0,MID_SEASON,NEUTRAL
TOBACCO,2024-07-01,3.05,90.0,LATE_GRADE,BEARISH
TOBACCO,2025-02-15,3.32,150.0,AUCTION_OPEN,OPTIMISTIC
TOBACCO,2025-03-25,3.32,352.7,AUCTION_PEAK,BULLISH
SOYA BEANS,2024-03-01,10.20,40.0,HARVEST,STABLE
SOYA BEANS,2024-12-01,14.80,15.0,LEAN,BULLISH
BURLEY TOBACCO,2024-03-20,2.80,12.0,AUCTION_PEAK,STABLE
BURLEY TOBACCO,2025-03-25,3.15,15.0,AUCTION_PEAK,STABLE
