crop_type,location,price_per_kg,date,source,is_verified
maize,Harare,0.32,2026-04-18,web_scrape,False
maize,Bulawayo,0.34,2026-04-18,web_scrape,False
maize,Mutare,0.37,2026-04-18,web_scrape,False
maize,Gweru,0.36,2026-04-18,web_scrape,False
maize,Masvingo,0.38,2026-04-18,web_scrape,False
soybeans,Harare,0.41,2026-04-18,web_scrape,False
soybeans,Bulawayo,0.46,2026-04-18,web_scrape,False
soybeans,Mutare,0.41,2026-04-18,web_scrape,False
soybeans,Gweru,0.44,2026-04-18,web_scrape,False
soybeans,Masvingo,0.49,2026-04-18,web_scrape,False
wheat,Harare,0.4,2026-04-18,web_scrape,False
wheat,Bulawayo,0.38,2026-04-18,web_scrape,False
wheat,Mutare,0.44,2026-04-18,web_scrape,False
wheat,Gweru,0.4,2026-04-18,web_scrape,False
wheat,Masvingo,0.46,2026-04-18,web_scrape,False
sugar_beans,Harare,0.53,2026-04-18,web_scrape,False
sugar_beans,Bulawayo,0.6,2026-04-18,web_scrape,False
sugar_beans,Mutare,0.56,2026-04-18,web_scrape,False
sugar_beans,Gweru,0.57,2026-04-18,web_scrape,False
sugar_beans,Masvingo,0.6,2026-04-18,web_scrape,False
groundnuts,Harare,0.71,2026-04-18,web_scrape,False
groundnuts,Bulawayo,0.71,2026-04-18,web_scrape,False
groundnuts,Mutare,0.68,2026-04-18,web_scrape,False
groundnuts,Gweru,0.63,2026-04-18,web_scrape,False
groundnuts,Masvingo,0.64,2026-04-18,web_scrape,False
